"Season","Team","GP","W","L","PTS","PCT","GF","GA","PP.","PK.","League","MemorialCupYear","MemorialCupWinner","CleanedTeam","TeamYearID"
"97_98","Guelph xy - Guelph Storm",66,42,17,91,0.689,263,189,0.276,0.844,"OHL",1998,"0","Guelph Storm","Guelph Storm_1998"
"97_98","Ottawa xy - Ottawa 67's",66,40,16,90,0.682,286,172,0.291,0.808,"OHL",1998,"0","Ottawa 67's","Ottawa 67's_1998"
"97_98","London x - London Knights",66,40,21,85,0.644,301,238,0.214,0.772,"OHL",1998,"0","London Knights","London Knights_1998"
"97_98","Belleville x - Belleville Bulls",66,41,19,88,0.667,315,239,0.253,0.778,"OHL",1998,"0","Belleville Bulls","Belleville Bulls_1998"
"97_98","Plymouth x - Plymouth Whalers",66,37,19,84,0.636,279,223,0.235,0.786,"OHL",1998,"0","Plymouth Whalers","Plymouth Whalers_1998"
"97_98","Barrie x - Barrie Colts",66,38,22,82,0.621,236,215,0.215,0.835,"OHL",1998,"0","Barrie Colts","Barrie Colts_1998"
"97_98","Sarnia x - Sarnia Sting",66,32,18,80,0.606,253,227,0.221,0.81,"OHL",1998,"0","Sarnia Sting","Sarnia Sting_1998"
"97_98","Kingston x - Kingston Frontenacs",66,35,26,75,0.568,330,275,0.288,0.773,"OHL",1998,"0","Kingston Frontenacs","Kingston Frontenacs_1998"
"97_98","Erie x - Erie Otters",66,33,25,74,0.561,261,252,0.252,0.781,"OHL",1998,"0","Erie Otters","Erie Otters_1998"
"97_98","Kitchener x - Kitchener Rangers",66,27,25,68,0.515,224,239,0.198,0.755,"OHL",1998,"0","Kitchener Rangers","Kitchener Rangers_1998"
"97_98","Sudbury x - Sudbury Wolves",66,25,27,64,0.485,257,268,0.183,0.755,"OHL",1998,"0","Sudbury Wolves","Sudbury Wolves_1998"
"97_98","Oshawa x - Oshawa Generals",66,26,29,63,0.477,214,247,0.196,0.765,"OHL",1998,"0","Oshawa Generals","Oshawa Generals_1998"
"97_98","Owen Sound x - Owen Sound Platers",66,27,31,62,0.47,270,312,0.228,0.724,"OHL",1998,"0","Owen Sound Platers","Owen Sound Platers_1998"
"97_98","Peterborough x - Peterborough Petes",66,20,35,51,0.386,212,273,0.205,0.75,"OHL",1998,"0","Peterborough Petes","Peterborough Petes_1998"
"97_98","Sault Ste. Marie Sault Ste. Marie Greyhounds",66,20,36,50,0.379,232,296,0.252,0.729,"OHL",1998,"0","Sault Ste. Marie Sault Ste. Marie Greyhounds","Sault Ste. Marie Sault Ste. Marie Greyhounds_1998"
"97_98","Windsor Windsor Spitfires",66,19,39,46,0.348,261,340,0.28,0.717,"OHL",1998,"0","Windsor Spitfires","Windsor Spitfires_1998"
"97_98","North Bay North Bay Centennials",66,15,41,40,0.303,213,291,0.203,0.729,"OHL",1998,"0","North Bay Centennials","North Bay Centennials_1998"
"97_98","Toronto Toronto St. Michael's Majors",66,15,41,40,0.303,154,265,0.149,0.76,"OHL",1998,"0","Toronto St. Michael's Majors","Toronto St. Michael's Majors_1998"
"98_99","Plymouth xy - Plymouth Whalers",68,51,11,108,0.794,313,162,0.31,0.86,"OHL",1999,"0","Plymouth Whalers","Plymouth Whalers_1999"
"98_99","Barrie xy - Barrie Colts",68,49,12,105,0.772,343,192,0.236,0.846,"OHL",1999,"0","Barrie Colts","Barrie Colts_1999"
"98_99","Ottawa x - Ottawa 67's",68,48,13,103,0.757,305,164,0.276,0.835,"OHL",1999,"1","Ottawa 67's","Ottawa 67's_1999"
"98_99","Guelph x - Guelph Storm",68,44,21,91,0.669,300,218,0.234,0.849,"OHL",1999,"0","Guelph Storm","Guelph Storm_1999"
"98_99","Belleville x - Belleville Bulls",68,39,21,86,0.632,334,246,0.212,0.761,"OHL",1999,"0","Belleville Bulls","Belleville Bulls_1999"
"98_99","Oshawa x - Oshawa Generals",68,39,22,85,0.625,280,217,0.264,0.798,"OHL",1999,"0","Oshawa Generals","Oshawa Generals_1999"
"98_99","Owen Sound x - Owen Sound Platers",68,39,22,85,0.625,312,293,0.263,0.771,"OHL",1999,"0","Owen Sound Platers","Owen Sound Platers_1999"
"98_99","Peterborough x - Peterborough Petes",68,40,24,84,0.618,266,213,0.249,0.799,"OHL",1999,"0","Peterborough Petes","Peterborough Petes_1999"
"98_99","Sarnia x - Sarnia Sting",68,37,24,81,0.596,279,216,0.247,0.799,"OHL",1999,"0","Sarnia Sting","Sarnia Sting_1999"
"98_99","London x - London Knights",68,34,27,75,0.551,260,217,0.208,0.801,"OHL",1999,"0","London Knights","London Knights_1999"
"98_99","Sault Ste. Marie x - Sault Ste. Marie Greyhounds",68,31,27,72,0.529,244,242,0.198,0.742,"OHL",1999,"0","Sault Ste. Marie Greyhounds","Sault Ste. Marie Greyhounds_1999"
"98_99","Erie x - Erie Otters",68,31,33,66,0.485,271,297,0.241,0.735,"OHL",1999,"0","Erie Otters","Erie Otters_1999"
"98_99","Sudbury x - Sudbury Wolves",68,25,35,58,0.426,261,288,0.237,0.763,"OHL",1999,"0","Sudbury Wolves","Sudbury Wolves_1999"
"98_99","Windsor x - Windsor Spitfires",68,23,33,58,0.426,203,294,0.184,0.767,"OHL",1999,"0","Windsor Spitfires","Windsor Spitfires_1999"
"98_99","Kitchener Kitchener Rangers",68,23,38,53,0.39,205,257,0.196,0.747,"OHL",1999,"0","Kitchener Rangers","Kitchener Rangers_1999"
"98_99","North Bay x - North Bay Centennials",68,22,39,51,0.375,215,248,0.195,0.762,"OHL",1999,"0","North Bay Centennials","North Bay Centennials_1999"
"98_99","Kingston x - Kingston Frontenacs",68,22,40,50,0.368,240,320,0.186,0.748,"OHL",1999,"0","Kingston Frontenacs","Kingston Frontenacs_1999"
"98_99","Toronto Toronto St. Michael's Majors",68,20,40,48,0.353,214,316,0.251,0.752,"OHL",1999,"0","Toronto St. Michael's Majors","Toronto St. Michael's Majors_1999"
"98_99","Brampton Brampton Battalion",68,8,55,21,0.154,198,362,0.163,0.69,"OHL",1999,"0","Brampton Battalion","Brampton Battalion_1999"
"98_99","Mississauga Mississauga IceDogs",68,4,56,16,0.118,145,426,0.147,0.661,"OHL",1999,"0","Mississauga IceDogs","Mississauga IceDogs_1999"
"99_00","Plymouth xy - Plymouth Whalers",68,45,18,95,0.699,256,172,0.211,0.853,"OHL",2000,"0","Plymouth Whalers","Plymouth Whalers_2000"
"99_00","Barrie xy - Barrie Colts",68,43,18,93,0.684,306,212,0.222,0.802,"OHL",2000,"0","Barrie Colts","Barrie Colts_2000"
"99_00","Ottawa x - Ottawa 67's",68,43,20,91,0.669,269,189,0.235,0.839,"OHL",2000,"0","Ottawa 67's","Ottawa 67's_2000"
"99_00","Erie x - Erie Otters",68,33,28,73,0.537,224,229,0.224,0.803,"OHL",2000,"0","Erie Otters","Erie Otters_2000"
"99_00","Belleville x - Belleville Bulls",68,44,22,90,0.662,319,227,0.223,0.776,"OHL",2000,"0","Belleville Bulls","Belleville Bulls_2000"
"99_00","Sault Ste. Marie x - Sault Ste. Marie Greyhounds",68,37,20,85,0.625,270,217,0.248,0.818,"OHL",2000,"0","Sault Ste. Marie Greyhounds","Sault Ste. Marie Greyhounds_2000"
"99_00","Sudbury x - Sudbury Wolves",68,39,23,84,0.618,262,221,0.194,0.819,"OHL",2000,"0","Sudbury Wolves","Sudbury Wolves_2000"
"99_00","Kingston x - Kingston Frontenacs",68,38,22,84,0.618,258,245,0.218,0.782,"OHL",2000,"0","Kingston Frontenacs","Kingston Frontenacs_2000"
"99_00","Peterborough x - Peterborough Petes",68,34,26,76,0.559,242,219,0.202,0.792,"OHL",2000,"0","Peterborough Petes","Peterborough Petes_2000"
"99_00","Sarnia x - Sarnia Sting",68,33,27,74,0.544,211,189,0.2,0.838,"OHL",2000,"0","Sarnia Sting","Sarnia Sting_2000"
"99_00","Windsor x - Windsor Spitfires",68,35,30,73,0.537,213,231,0.157,0.8,"OHL",2000,"0","Windsor Spitfires","Windsor Spitfires_2000"
"99_00","Oshawa x - Oshawa Generals",68,32,30,70,0.515,227,224,0.234,0.806,"OHL",2000,"0","Oshawa Generals","Oshawa Generals_2000"
"99_00","Kitchener x - Kitchener Rangers",68,28,30,66,0.485,229,256,0.223,0.817,"OHL",2000,"0","Kitchener Rangers","Kitchener Rangers_2000"
"99_00","Brampton x - Brampton Battalion",68,25,28,65,0.478,213,226,0.179,0.783,"OHL",2000,"0","Brampton Battalion","Brampton Battalion_2000"
"99_00","Guelph x - Guelph Storm",68,29,34,63,0.463,250,256,0.219,0.806,"OHL",2000,"0","Guelph Storm","Guelph Storm_2000"
"99_00","North Bay x - North Bay Centennials",68,24,35,57,0.419,214,253,0.211,0.755,"OHL",2000,"0","North Bay Centennials","North Bay Centennials_2000"
"99_00","London London Knights",68,22,36,54,0.397,186,250,0.173,0.769,"OHL",2000,"0","London Knights","London Knights_2000"
"99_00","Owen Sound Owen Sound Platers",68,21,35,54,0.397,237,292,0.184,0.76,"OHL",2000,"0","Owen Sound Platers","Owen Sound Platers_2000"
"99_00","Toronto Toronto St. Michael's Majors",68,18,44,42,0.309,203,281,0.155,0.804,"OHL",2000,"0","Toronto St. Michael's Majors","Toronto St. Michael's Majors_2000"
"99_00","Mississauga Mississauga IceDogs",68,9,56,21,0.154,160,346,0.137,0.727,"OHL",2000,"0","Mississauga IceDogs","Mississauga IceDogs_2000"
"00_01","Erie xy - Erie Otters",68,45,11,102,0.75,264,171,0.207,0.846,"OHL",2001,"0","Erie Otters","Erie Otters_2001"
"00_01","Plymouth x - Plymouth Whalers",68,43,15,96,0.706,253,162,0.227,0.867,"OHL",2001,"0","Plymouth Whalers","Plymouth Whalers_2001"
"00_01","Belleville xy - Belleville Bulls",68,37,23,82,0.603,275,224,0.262,0.761,"OHL",2001,"0","Belleville Bulls","Belleville Bulls_2001"
"00_01","Sudbury x - Sudbury Wolves",68,35,22,81,0.596,237,196,0.197,0.828,"OHL",2001,"0","Sudbury Wolves","Sudbury Wolves_2001"
"00_01","Toronto x - Toronto St. Michael's Majors",68,35,23,80,0.588,213,188,0.146,0.841,"OHL",2001,"0","Toronto St. Michael's Majors","Toronto St. Michael's Majors_2001"
"00_01","Windsor x - Windsor Spitfires",68,34,22,80,0.588,257,221,0.185,0.797,"OHL",2001,"0","Windsor Spitfires","Windsor Spitfires_2001"
"00_01","Ottawa x - Ottawa 67's",68,33,21,80,0.588,249,201,0.249,0.816,"OHL",2001,"0","Ottawa 67's","Ottawa 67's_2001"
