"team","lineup","win_rate"
"EDM","Zach Hyman, Connor McDavid, Leon Draisaitl",0.6613
"EDM","Leon Draisaitl, Zach Hyman, Connor McDavid",0.6598
"EDM","Connor McDavid, Leon Draisaitl, Ryan Nugent-Hopkins",0.6569
"DAL","Mikko Rantanen, Matt Duchene, Jason Robertson",0.6554
"DAL","Matt Duchene, Jason Robertson, Mikko Rantanen",0.6541
"DAL","Jason Robertson, Matt Duchene, Mikko Rantanen",0.6535
"FLA","Sam Reinhart, Aleksander Barkov, Brad Marchand",0.6392
"FLA","Sam Reinhart, Aleksander Barkov, Carter Verhaeghe",0.6384
"FLA","Sam Reinhart, Aleksander Barkov, Anton Lundell",0.6381
"TOR","Mitch Marner, Auston Matthews, John Tavares",0.6346
"TOR","Auston Matthews, John Tavares, Mitch Marner",0.6311
"TOR","William Nylander, Mitch Marner, Auston Matthews",0.6308
"MTL","Oliver Kapanen, Alex Newhook, Nick Suzuki",0.6287
"MTL","Oliver Kapanen, Alex Newhook, Jake Evans",0.6263
"MTL","Michael Pezzetta, Oliver Kapanen, Cole Caufield",0.6257
"TBL","Brayden Point, Jake Guentzel, Brandon Hagel",0.6341
"TBL","Brayden Point, Anthony Cirelli, Jake Guentzel",0.6337
"TBL","Brandon Hagel, Brayden Point, Jake Guentzel",0.6323
"NYR","Chris Kreider, Artemi Panarin, J.T. Miller",0.6373
"NYR","J.T. Miller, Artemi Panarin, Chris Kreider",0.6326
"NYR","J.T. Miller, Chris Kreider, Artemi Panarin",0.6299
"CGY","Rasmus Andersson, Yegor Sharangovich, Justin Kirkland",0.6195
"CGY","Justin Kirkland, Rasmus Andersson, Kevin Rooney",0.619
"CGY","Jonathan Huberdeau, Rasmus Andersson, Morgan Frost",0.6182
"NSH","Steven Stamkos, Kieffer Bellows, Ryan O'Reilly",0.6238
"NSH","Steven Stamkos, Ryan O'Reilly, Michael Bunting",0.6228
"NSH","Kieffer Bellows, Steven Stamkos, Ryan O'Reilly",0.621
"LAK","Adrian Kempe, Trevor Moore, Kevin Fiala",0.6125
"LAK","Quinton Byfield, Trevor Moore, Adrian Kempe",0.6104
"LAK","Adrian Kempe, Kevin Fiala, Trevor Moore",0.6103
"NYI","Anders Lee, Bo Horvat, Anthony Duclair",0.6131
