"X","Date","Period","Fighter1","Fighter1WinPct","Fighter1Team","Fighter2","Fighter2WinPct","Fighter2Team","playerId.x","position.x","team.x","Fighter1BirthDate","Fighter1Weight","Fighter1Height","nationality.x","shootsCatches.x","primaryNumber.x","primaryPosition.x","playerId.y","position.y","team.y","Fighter2BirthDate","Fighter2Weight","Fighter2Height","nationality.y","shootsCatches.y","primaryNumber.y","primaryPosition.y","Fighter1HeightInches","Fighter2HeightInches","HeightDiff","WeightDiff","Fighter1Age","Fighter2Age","AgeDiff","Win","Fighter1Handedness","Fighter2Handedness","HandednessDiff","Fighter1Position","Fighter2Position"
NA,2023-10-11,1,"Arber Xhekaj",0.7,"MTL","Ryan Reaves",0.11,"TOR",8482964,"D","MTL","2001-01-30",238,"6' 4""","CAN","L",72,"D",8471817,"R","TOR","1987-01-20",225,"6' 1""","CAN","R",75,"R",76,73,3,13,22.6624515835042,36.6720209614946,-14.0095693779904,1,"L","R",1,"D","F"
NA,2023-10-11,3,"Jason Dickinson",0.92,"CHI","John Beecher",0,"BOS",8477450,"C","CHI","1995-07-04",200,"6' 2""","CAN","L",16,"C",8481556,"C","BOS","2001-04-05",216,"6' 3""","USA","L",19,"C",74,75,-1,-16,28.2319434951014,22.4848484848485,5.74709501025291,1,"L","L",0,"F","F"
NA,2023-10-11,2,"Logan O'Connor",0.55,"COL","Alex Laferriere",0.24,"LAK",8481186,"R","COL","1996-08-14",175,"6' 0""","USA","R",25,"R",8482155,"R","LAK","2001-10-28",173,"6' 0""","USA","R",78,"R",72,72,0,2,27.1191615402142,21.9216222374117,5.19753930280246,1,"R","R",0,"F","F"
NA,2023-10-11,1,"Vincent Desharnais",0.46,"EDM","Dakota Joshua",0,"VAN",8479576,"D","VAN","1996-05-29",215,"6' 6""","CAN","R",73,"D",8478057,"C","VAN","1996-05-15",199,"6' 2""","USA","L",54,"C",78,74,4,16,27.3296878560036,27.3679653679654,-0.03827751196172,1,"R","L",1,"D","F"
NA,2023-10-12,1,"Keegan Kolesar",0.72,"VGK","Kyle Burroughs",0.22,"SJS",8478434,"R","VGK","1997-04-08",227,"6' 2""","CAN","R",55,"R",8477335,"D","LAK","1995-07-12",193,"6' 0""","CAN","R",88,"D",74,72,2,34,26.4739120528594,28.2128047391205,-1.73889268626111,1,"R","R",0,"F","D"
NA,2023-10-13,3,"Marcus Pettersson",0.12,"PIT","Tom Wilson",0.75,"WSH",8477969,"D","PIT","1996-05-08",177,"6' 3""","SWE","L",28,"D",8476880,"R","WSH","1994-03-29",218,"6' 4""","CAN","R",43,"R",75,76,-1,-41,27.3925723399408,29.5004556846662,-2.10788334472545,0,"L","R",1,"D","F"
NA,2024-10-14,2,"Nick Seeler",0.31,"PHI","Mark Kastelic",0.15,"OTT",8476372,"D","PHI","1993-06-03",198,"6' 2""","USA","L",36,"D",8480355,"C","BOS","1999-03-11",210,"6' 3""","USA","R",47,"C",74,75,-1,-12,31.3214855320118,25.5606060606061,5.76087947140579,1,"L","R",1,"D","F"
NA,2024-10-14,3,"Matthew Tkachuk",0.73,"FLA","Mark Scheifele",0.06,"WPG",8479314,"L","FLA","1997-12-11",202,"6' 2""","USA","L",19,"L",8476460,"C","WPG","1993-03-15",207,"6' 3""","CAN","R",55,"C",74,75,-1,-5,26.804625199362,31.5401002506266,-4.73547505126452,1,"L","R",1,"F","F"
NA,2024-10-14,1,"Marcus Foligno",0.36,"MIN","Ryan Reaves",0.45,"TOR",8475220,"L","MIN","1991-08-10",228,"6' 3""","CAN","L",17,"L",8471817,"R","TOR","1987-01-20",225,"6' 1""","CAN","R",75,"R",75,73,2,3,33.1341991341991,37.6809068124858,-4.54670767828662,0,"L","R",1,"F","F"
NA,2024-10-14,2,"Sam Carrick",0.07,"ANA","Keegan Kolesar",0.84,"VGK",8475842,"C","NYR","1992-02-04",204,"6' 0""","CAN","R",56,"C",8478434,"R","VGK","1997-04-08",227,"6' 2""","CAN","R",55,"R",72,74,-2,-23,32.6474139895193,27.4800637958533,5.16735019366598,0,"R","R",0,"F","F"
