"Fighter1TeamNum","Fighter2TeamNum","AgeDiff","HeightDiff","WeightDiff","Fighter1ID","Fighter2ID","Win","OriginalFighter1ID","OriginalFighter2ID"
1,31,-14.0095693779904,3,13,221,5,1,"8482964","8471817"
4,16,-0.03827751196172,4,16,147,107,1,"8479576","8478057"
5,20,-1.73889268626111,2,34,120,76,1,"8478434","8477335"
6,15,-2.10788334472545,-1,-41,103,64,0,"8477969","8476880"
7,25,5.76087947140579,-1,-12,41,168,1,"8476372","8480355"
9,31,-4.54670767828662,2,3,21,5,0,"8475220","8471817"
10,5,5.16735019366598,-2,-23,38,119,0,"8475842","8478434"
11,24,-7.31362497151971,-2,-5,158,33,1,"8480011","8475790"
9,1,0.806675780359988,1,-16,145,148,0,"8479520","8479543"
12,23,1.97676008202324,2,-7,33,63,1,"8475766","8476878"
14,5,9.36990202779676,-4,-10,5,157,1,"8473994","8479980"
15,25,4.94326725905673,1,8,61,168,1,"8476880","8480355"
10,28,0.440077466393252,4,20,95,72,1,"8477527","8477070"
20,29,-2.67669172932331,0,1,136,170,1,"8479316","8480748"
22,13,-2.05604921394395,-1,14,139,100,1,"8479365","8477971"
23,25,3.34654818865345,1,26,100,173,0,"8477949","8480801"
24,1,0.38835725677831,1,2,201,224,0,"8481716","8482964"
9,7,2.82991569833676,2,4,7,24,0,"8474034","8475235"
25,19,-9.82649806334017,0,-10,166,20,0,"8480355","8474709"
26,18,7.73205741626794,1,6,9,116,0,"8474145","8478421"
10,7,-2.98564593301435,4,14,95,24,0,"8477527","8475235"
5,13,-2.86807928913192,3,26,154,100,1,"8479980","8477971"
2,28,6.73399407609934,-1,-13,3,72,1,"8473422","8477070"
2,28,7.86602870813397,3,29,37,180,1,"8475797","8480855"
7,23,9.20300751879699,-1,22,98,199,1,"8477903","8481528"
12,25,4.47835497835498,1,-1,33,155,1,"8475766","8479772"
14,16,-6.31020733652313,4,-7,132,11,1,"8478975","8474013"
12,1,3.66928685349738,-2,-30,149,224,1,"8479661","8482964"
7,20,7.00478468899522,-1,11,23,140,1,"8475235","8479379"
9,21,-4.22681704260652,0,-15,145,54,0,"8479520","8476624"
29,27,-4.07644110275689,-4,-6,124,41,0,"8478468","8476392"
29,27,-2.57814992025519,-2,-15,202,41,0,"8482062","8476392"
16,31,6.0150375939852,3,26,6,87,1,"8474013","8477503"
20,10,-6.05604921394395,2,6,141,37,0,"8479379","8475842"
5,15,-4.95967190704033,-3,-9,120,34,0,"8478434","8475795"
10,29,6.88721804511278,-1,0,27,124,0,"8475462","8478468"
10,29,1.36967418546366,-1,5,95,85,1,"8477527","8477446"
12,2,-3.45306447938027,-4,-32,148,51,0,"8479591","8476473"
9,25,0.513898382319439,0,5,112,155,1,"8478136","8479772"
4,12,-4.36899065846434,2,11,147,31,1,"8479576","8475766"
28,27,-3.70186830713146,-3,-10,72,28,1,"8477070","8475455"
24,7,-5.96308954203691,1,-11,150,24,0,"8479671","8475235"
4,8,2.36773752563226,4,6,147,158,1,"8479576","8479981"
13,28,-1.9958988380041,-2,-26,104,79,0,"8477971","8477384"
23,15,-2.88448393711551,2,9,116,64,0,"8478413","8476880"
18,29,2.03144224196856,4,26,92,124,1,"8477507","8478468"
18,29,-1.32342219184325,-4,-14,127,85,0,"8478502","8477446"
20,32,-3.52415128730918,0,13,75,131,0,"8477335","8479293"
21,7,-1.26042378673958,0,5,55,91,0,"8476624","8477903"
21,7,-10.19002050581,1,1,211,91,0,"8482157","8477903"
29,26,-5.67600820232399,0,4,124,22,1,"8478468","8475170"
13,10,-3.95625427204375,3,-15,104,37,1,"8477971","8475842"
8,31,-1.30132148553201,3,2,99,87,1,"8477935","8477503"
19,30,-1.39428115743905,1,36,25,13,0,"8475314","8474090"
6,29,-5.07450444292549,-5,-17,190,85,1,"8481206","8477446"
12,28,-3.3464342674869,-3,-7,149,79,1,"8479661","8477384"
8,1,-4.42652084757348,-1,-12,155,70,0,"8479981","8476981"
20,22,-0.043745727956253,0,7,141,136,1,"8479379","8479365"
9,29,-1.76611984506722,1,7,21,15,0,"8475220","8474568"
3,28,2.80519480519481,2,1,40,72,1,"8476312","8477070"
23,17,4.76293005240374,0,1,77,176,1,"8477365","8480835"
9,18,5.33982683982684,0,18,21,116,1,"8475220","8478421"
13,1,2.13807245386193,2,-27,104,148,1,"8477971","8479543"
12,29,3.78389154704945,1,9,33,210,1,"8475766","8482062"
9,16,6.96924128503076,-2,-5,7,88,1,"8474034","8477507"
9,16,0.366256550467075,1,11,112,107,1,"8478136","8478057"
29,31,-1.4628616997038,-1,-12,168,69,0,"8480748","8476931"
26,2,6.87354750512645,0,7,17,192,1,"8475170","8481147"
8,24,-1.53098655730235,-6,-32,44,33,0,"8476393","8475790"
27,10,0.322510822510825,2,13,49,47,0,"8476460","8476458"
7,29,6.17076782866257,0,17,23,124,1,"8475235","8478468"
25,26,0.456709956709958,2,-8,171,186,1,"8480801","8481006"
21,22,3.95352016404648,1,-1,62,136,0,"8476885","8479365"
12,18,-0.576782866256551,0,-8,149,125,1,"8479661","8478502"
16,2,3.22898154477101,4,37,92,192,0,"8477507","8481147"
10,30,6.34575074048758,-1,5,95,181,0,"8477527","8480860"
26,12,-2.75609478241057,-3,-21,184,115,0,"8481006","8478416"
9,22,9.32330827067669,2,35,7,121,1,"8474034","8478450"
9,22,0.75472772841194,-2,-13,182,182,0,"8480980","8480880"
25,28,-5.13738892686261,3,14,171,57,1,"8480801","8476856"
18,10,-4.85304169514696,3,6,119,37,0,"8478421","8475842"
7,11,3.86056049213944,0,-16,41,118,1,"8476372","8478432"
5,8,-2.32661198450672,5,40,120,130,0,"8478434","8479066"
22,9,-2.84632034632034,-2,-4,179,146,0,"8480880","8479520"
23,21,13.8591934381408,1,14,4,216,1,"8473446","8482157"
31,24,-6.69024834814309,-2,-26,186,33,0,"8481122","8475790"
9,27,-5.12918660287081,-1,-15,112,28,1,"8478136","8475455"
29,15,-1.26304397357029,2,12,81,64,0,"8477446","8476880"
27,9,-4.92424242424243,2,-15,43,12,0,"8476392","8474034"
19,6,11.2207792207792,2,7,14,195,1,"8474709","8481206"
2,29,9.47903850535429,-1,-2,3,124,1,"8473422","8478468"
31,13,-2.65743905217589,0,2,186,100,0,"8481122","8477971"
12,9,-3.71850079744816,1,-21,33,12,0,"8475766","8474034"
2,30,-3.49134199134199,1,12,198,142,1,"8481568","8479414"
2,30,1.27409432672591,-2,7,3,13,1,"8473422","8474090"
27,28,6.76418318523582,2,9,43,180,1,"8476392","8480855"
10,29,-4.28981544771018,3,14,95,15,1,"8477527","8474568"
22,28,-3.53531556163135,1,-12,139,72,0,"8479365","8477070"
10,17,4.1038961038961,-1,-6,38,99,0,"8475842","8477962"
7,9,-2.82991569833675,-2,-4,23,12,1,"8475235","8474034"
16,23,-4.97334244702666,-3,-7,51,8,1,"8476468","8473446"
28,9,2.81066302118934,-1,15,72,146,1,"8477070","8479520"
28,9,-2.44714057871953,2,-13,78,23,0,"8477384","8475220"
1,25,-1.67612212349055,-2,11,146,155,1,"8479543","8479772"
28,16,0.713602187286398,-4,-15,72,88,0,"8477070","8477507"
9,8,7.16336295283664,1,19,21,158,1,"8475220","8479981"
27,25,8.82832080200502,1,29,26,173,1,"8475455","8480801"
1,22,3.76224652540441,1,18,71,136,1,"8476981","8479365"
31,32,-1.77979038505354,1,26,68,131,1,"8476931","8479293"
28,8,-5.06903622693096,6,14,176,130,1,"8480855","8479066"
28,8,4.19958988380041,-1,6,72,158,1,"8477070","8479981"
7,11,8.18580542264752,-2,9,23,161,1,"8475235","8480011"
29,9,0.497721576668948,3,20,81,108,0,"8477446","8478136"
21,25,6.02597402597403,-1,5,55,168,0,"8476624","8480355"
24,26,3.0457963089542,1,6,150,186,1,"8479671","8481006"
32,20,0.956937799043061,3,1,130,132,1,"8478840","8479316"
9,2,0.530530872636135,-3,-2,21,35,1,"8475220","8475797"
10,1,5.42709045340624,-4,-4,38,165,0,"8475842","8480192"
10,1,6.93916609706084,1,-3,95,224,1,"8477527","8482964"
16,2,3.15789473684211,-1,15,111,162,1,"8478057","8480025"
7,31,7.56242879927091,-2,30,23,191,1,"8475235","8481122"
13,22,2.05604921394395,1,-14,104,136,1,"8477971","8479365"
8,12,-6.73672818409661,-2,5,155,31,1,"8479981","8475766"
8,12,-1.37252221462748,-2,-16,155,115,0,"8479981","8478416"
10,31,4.73285486443381,2,11,27,87,1,"8475462","8477503"
21,19,-13.1237183868763,6,35,214,20,1,"8482460","8474709"
9,27,2.3922305764411,-4,-18,112,139,1,"8478136","8479378"
7,2,5.09364319890636,1,5,41,192,1,"8476372","8481147"
22,4,-12.257006151743,-2,-16,122,1,1,"8478450","8470621"
24,10,-2.97744360902256,-3,-25,150,89,0,"8479671","8477527"
21,30,3.77033492822967,-1,-3,62,142,1,"8476885","8479414"
21,7,-11.3327637275006,8,34,214,24,0,"8482460","8475235"
9,32,-0.420938710412393,-1,4,145,127,0,"8479520","8478840"
28,27,-6.78332194121668,-1,-20,181,41,0,"8480891","8476392"
21,24,-5.36967418546366,7,45,214,153,0,"8482460","8479671"
29,10,-5.2220323536113,1,0,124,37,1,"8478468","8475842"
26,27,1.5995670995671,-4,-10,17,41,0,"8475170","8476392"
25,29,-3.68022328548644,-3,-20,166,85,1,"8480355","8477446"
24,21,1.40271132376396,2,29,201,216,1,"8481716","8482157"
28,31,-7.51048074732286,0,-10,72,5,0,"8477070","8471817"
9,29,1.31772613351561,2,6,112,124,1,"8478136","8478468"
21,31,-15.4175210754158,8,30,214,5,0,"8482460","8471817"
1,12,-3.67202096149465,0,13,221,115,1,"8482964","8478416"
1,29,-4.50296195033037,1,0,71,15,0,"8476981","8474568"
4,24,5.01435406698565,-2,-6,38,153,0,"8475842","8479671"
7,12,0.888585099111417,-3,17,23,31,1,"8475235","8475766"
29,9,-3.89336978810663,3,2,81,23,0,"8477446","8475220"
18,17,-3.43392572339941,0,-6,188,99,0,"8481167","8477962"
6,25,-1.39428115743905,-2,3,190,168,1,"8481206","8480355"
10,2,9.09364319890635,-3,20,27,162,1,"8475462","8480025"
3,16,3.5187969924812,-2,-14,40,88,1,"8476312","8477507"
